"","Track","Channel","Start hRf","End hRf","hRf","Height","Area","Start","End","Max"
"77",4,2,4,8,6,0.228189016006727,2.14559295104659,891,867,879
"78",4,2,-2,4,2,0.275232776191591,2.78985990264959,919,891,901
"81",5,2,47,55,51,0.0491170749244107,0.791802647611599,668,625,644
"82",5,2,30,41,35,0.144367831730254,2.80305045256672,752,699,729
"83",5,2,18,24,21,0.420202118972529,6.31008344967666,817,785,802
"84",5,2,12,18,15,0.318333884053472,4.65259743058875,849,817,831
"85",5,2,4,8,6,0.270751516360718,2.56295873665974,891,866,878
"86",5,2,-2,4,2,0.343199381541358,3.62709904247543,919,891,901
"89",6,2,47,55,51,0.0366194896318198,0.555129516329374,664,626,645
"90",6,2,26,39,35,0.120089921608423,2.14223223377126,776,707,728
"91",6,2,18,24,21,0.380163373921652,5.51586164456652,816,786,802
"92",6,2,12,18,15,0.294705293402981,4.26118199363335,848,816,830
"93",6,2,4,8,6,0.236732760947618,2.21873497014391,890,867,878
"94",6,2,-2,4,2,0.252732293289015,2.57042192136588,919,890,901
"98",7,2,48,55,51,0.0374971849041771,0.575594710841521,662,625,643
"99",7,2,26,42,35,0.122982479558467,2.22751978999936,777,692,727
"100",7,2,18,24,21,0.378992978427365,5.51807610644684,816,785,801
"101",7,2,12,18,15,0.29437474725996,4.24227144508766,847,816,830
"102",7,2,4,8,6,0.238171520208434,2.24160831834002,890,866,878
"103",7,2,-2,4,2,0.242941442383739,2.48851350686847,918,890,900
"106",8,2,49,56,52,0.0352822334866899,0.584728775091137,657,618,638
"107",8,2,25,41,36,0.11965722564336,2.1052188110363,780,696,723
"108",8,2,19,25,22,0.362113768908054,5.51767120794089,813,780,798
"109",8,2,12,19,16,0.285838407913964,4.30066106798532,845,813,827
"110",8,2,4,9,6,0.238404017696533,2.25887862722589,889,864,876
"111",8,2,-2,4,2,0.247602127313773,2.50361768249673,918,889,899
"114",1,3,46,57,52,0.323040664601943,6.60664981380872,670,612,642
"115",1,3,30,42,35,0.0337873537426339,0.986019314285831,752,691,729
"116",1,3,12,20,16,0.245295108249975,3.44254153960125,846,804,827
"117",1,3,3,8,6,0.0708845562186972,0.572931304144986,892,867,879
"118",1,3,1,3,1,0.0190591080123457,0.113220136343331,907,892,902
